kernel-module-gf128mul-6.13.1 kernel-module-gf128mul-6.13.1 linux-stable 6.13.1 11
kernel-module-fsl-mph-dr-of-6.13.1 kernel-module-fsl-mph-dr-of-6.13.1 linux-stable 6.13.1 11
kernel-module-crypto-user-6.13.1 kernel-module-crypto-user-6.13.1 linux-stable 6.13.1 11
kernel-module-b53-mmap-6.13.1 kernel-module-b53-mmap-6.13.1 linux-stable 6.13.1 11
kernel-module-algif-hash-6.13.1 kernel-module-algif-hash-6.13.1 linux-stable 6.13.1 11
kernel-module-algif-aead-6.13.1 kernel-module-algif-aead-6.13.1 linux-stable 6.13.1 11
dbus-common dbus-common dbus 1.14.10 11
libubootenv-bin libubootenv-bin libubootenv 0.3.5 10
kernel-module-xts-6.13.1 kernel-module-xts-6.13.1 linux-stable 6.13.1 10
kernel-module-st-gyro-spi-6.13.1 kernel-module-st-gyro-spi-6.13.1 linux-stable 6.13.1 10
kernel-module-simple-bridge-6.13.1 kernel-module-simple-bridge-6.13.1 linux-stable 6.13.1 10
kernel-module-sha1-arm-neon-6.13.1 kernel-module-sha1-arm-neon-6.13.1 linux-stable 6.13.1 10
kernel-module-rtc-s35390a-6.13.1 kernel-module-rtc-s35390a-6.13.1 linux-stable 6.13.1 10
kernel-module-rtc-bq32k-6.13.1 kernel-module-rtc-bq32k-6.13.1 linux-stable 6.13.1 10
kernel-module-pwm-tiehrpwm-6.13.1 kernel-module-pwm-tiehrpwm-6.13.1 linux-stable 6.13.1 10
kernel-module-nxp-ptn3460-6.13.1 kernel-module-nxp-ptn3460-6.13.1 linux-stable 6.13.1 10
kernel-module-nci-uart-6.13.1 kernel-module-nci-uart-6.13.1 linux-stable 6.13.1 10
kernel-module-mip6-6.13.1 kernel-module-mip6-6.13.1 linux-stable 6.13.1 10
kernel-module-max8952-6.13.1 kernel-module-max8952-6.13.1 linux-stable 6.13.1 10
kernel-module-gpio-charger-6.13.1 kernel-module-gpio-charger-6.13.1 linux-stable 6.13.1 10
kernel-module-fsi-scom-6.13.1 kernel-module-fsi-scom-6.13.1 linux-stable 6.13.1 10
kernel-module-ehci-fsl-6.13.1 kernel-module-ehci-fsl-6.13.1 linux-stable 6.13.1 10
kernel-module-authencesn-6.13.1 kernel-module-authencesn-6.13.1 linux-stable 6.13.1 10
kernel-module-algif-skcipher-6.13.1 kernel-module-algif-skcipher-6.13.1 linux-stable 6.13.1 10
util-linux-fcntl-lock util-linux-fcntl-lock util-linux 2.39.3 9
ttyrun ttyrun ttyrun 2.31.0 9
libxau6 libxau libxau 1.0.11 9
libpanelw5 ncurses-libpanelw ncurses 6.4 9
libgdbm-compat4 gdbm-compat gdbm 1.23 9
kernel-module-xfrm-ipcomp-6.13.1 kernel-module-xfrm-ipcomp-6.13.1 linux-stable 6.13.1 9
kernel-module-tc358764-6.13.1 kernel-module-tc358764-6.13.1 linux-stable 6.13.1 9
kernel-module-st-gyro-i2c-6.13.1 kernel-module-st-gyro-i2c-6.13.1 linux-stable 6.13.1 9
kernel-module-st-gyro-6.13.1 kernel-module-st-gyro-6.13.1 linux-stable 6.13.1 9
kernel-module-s3fwrn5-i2c-6.13.1 kernel-module-s3fwrn5-i2c-6.13.1 linux-stable 6.13.1 9
kernel-module-rtc-rx8581-6.13.1 kernel-module-rtc-rx8581-6.13.1 linux-stable 6.13.1 9
kernel-module-rtc-efi-6.13.1 kernel-module-rtc-efi-6.13.1 linux-stable 6.13.1 9
kernel-module-resistive-adc-touch-6.13.1 kernel-module-resistive-adc-touch-6.13.1 linux-stable 6.13.1 9
kernel-module-phy-exynos-usb2-6.13.1 kernel-module-phy-exynos-usb2-6.13.1 linux-stable 6.13.1 9
kernel-module-md5-6.13.1 kernel-module-md5-6.13.1 linux-stable 6.13.1 9
kernel-module-lvds-codec-6.13.1 kernel-module-lvds-codec-6.13.1 linux-stable 6.13.1 9
kernel-module-lan966x-serdes-6.13.1 kernel-module-lan966x-serdes-6.13.1 linux-stable 6.13.1 9
kernel-module-i2c-gpio-6.13.1 kernel-module-i2c-gpio-6.13.1 linux-stable 6.13.1 9
